time, temps, time, 
year, curs, course, curs, 
people, gent, people, 
way, camí, way, 
day, dia, day, 
man, home, man, 
thing, cosa, thing, 
woman, dona, woman, 
life, vida, life, 
child, nen, boy, noi, boy, 
world, món, world, 
school, escola, school, 
state, estat, state, 
family, família, family, 
student, estudiant, student, 
group, grup, group, 
country, país, country, 
problem, problema, problem, 
hand, mà, hand, 
part, part, 
place, lloc, place, 
case, cas, case, 
week, setmana, week, 
company, empresa, company, 
system, sistema, system, 
program, programa, program, 
question, pregunta, question, 
work, treballar, to work, treballar, 
government, govern, government, 
number, número, number, 
night, nit, night, 
mr, mr, 
point, punt, point, 
home, casa, home, 
water, aigua, water, 
room, habitació, room, 
mother, mare, mother, 
area, àrea, area, 
money, diners, money, 
story, història, story, 
fact, fet, done, fet, 
month, mes, more, més, more, 
lot, molt, a lot, molt, 
right, dret, right, 
study, estudiar, to study, estudiar, 
book, llibre, book, 
eye, ull, eye, 
job, treball, work, treballar, to work, treballar, 
word, paraula, word, 
business, negocis, business, 
issue, assumpte, matter, matèria, subject matter, matèria, 
side, costat, side, 
kind, amable, kind, 
head, cap, cap, 
house, casa, home, casa, 
service, servei, service, 
friend, amic, friend, 
father, pare, stop, aturar, stop, 
power, poder, power, 
hour, hores, hours, hores, 
game, joc, game, 
line, línia, line, 
end, final, final, 
member, membre, member, 
law, llei, law, 
car, cotxe, car, 
city, ciutat, city, 
community, comunitat, community, 
name, nom, first name, nom, 
president, president, 
team, equip, team, 
minute, minut, minute, 
idea, idea, 
kid, noi, boy, noi, 
body, cos, body, 
information, informació, information, 
back, esquena, back, 
parent, pare, stop, aturar, stop, 
face, cara, face, 
others, altres, others, 
level, nivell, level, 
office, oficina, office, 
door, porta, door, 
health, salut, health, 
person, persona, person, 
art, art, 
war, guerra, war, 
history, història, story, història, 
party, festa, party, 
result, resultat, result, 
change, canviar, to change, canviar, 
morning, matí, morning, 
reason, raó, right, dret, right, 
research, recerca, research, 
girl, noia, girl, 
guy, paio, paio, 
food, menjar, food, 
moment, moment, 
air, aire, air, 
teacher, professor, teacher, 
force, força, force, 
education, educació, education, 
foot, peu, foot, 
boy, noi, boy, 
age, edat, age, 
policy, política, politics, política, 
process, procés, process, 
music, música, music, 
market, mercat, market, 
sense, sentit, sense, 
nation, nació, was born, va néixer, she was born, va néixer, 
plan, pla, flat, pla, 
college, universitat, university, universitat, 
interest, interès, interest, 
death, mort, death, 
experience, experiència, experience, 
effect, efecte, effect, 
use, ús, use, 
class, classe, class, 
control, control, 
care, cura, healing, curació, healing, 
field, camp, rural area, camp, 
development, desenvolupament, development, 
role, paper, paper, 
effort, esforç, effort, 
rate, taxa, rate, 
heart, cor, heart, 
drug, droga, drug, 
show, espectacle, show, 
leader, líder, leader, 
light, llum, light, 
voice, veu, you see, tu veus, you see, 
wife, esposa, wife, 
police, policia, police, 
mind, ment, mind, 
price, preu, price, 
report, informe, report, 
decision, decisió, decision, 
son, fill, son, 
view, veure, i'll see, ja veuré, i'll see, 
relationship, relació, relationship, 
town, ciutat, city, ciutat, 
road, camí, way, camí, 
arm, braç, arm, 
difference, diferència, difference, 
value, valor, value, 
building, edifici, building, 
action, acció, action, 
model, model, 
season, temporada, season, 
society, societat, society, 
tax, impost, tax, 
director, director, 
position, posició, position, 
player, jugador, player, 
record, registre, register, registreu-vos, sign up, registra't, sign up, 
paper, paper, 
space, espai, space, 
ground, terra, land, terra, 
form, forma, shape, forma, 
event, esdeveniment, event, 
official, oficial, official, 
matter, matèria, subject matter, matèria, 
center, centre, downtown, centre de la ciutat, downtown, 
couple, parella, couple, 
site, lloc, place, lloc, 
project, projecte, project, 
activity, activitat, activity, 
star, estrella, star, 
table, taula, table, 
need, necessitat, need, 
court, tribunal, tribunal, 
american, americà, american, 
oil, oli, oil, 
situation, situació, situation, 
cost, cost, 
industry, indústria, industry, 
figure, figura, figure, 
street, carrer, street, 
image, imatge, image, 
phone, telèfon, phone, 
data, dades, data, 
picture, imatge, image, imatge, 
practice, pràctica, practice, 
piece, peça, piece, 
land, terra, land, 
product, producte, product, 
doctor, metge, doctor, 
wall, paret, wall, 
patient, pacient, patient, 
worker, treballador, employee, empleat, employee, 
news, notícies, news, 
test, prova, test, 
movie, pel·lícula, movie, 
north, nord, north, 
love, amor, love, 
support, suport, support, 
technology, tecnologia, technology, 
step, pas, step, 
baby, bebè, well well, bé bé, well well, 
computer, ordinador, computer, 
type, escriu, write, escriure, write, 
attention, atenció, attention, 
film, pel·lícula, movie, pel·lícula, 
republican, republicà, republican, 
tree, arbre, tree, 
source, font, source, 
organization, organització, organization, 
hair, cabell, hair, 
look, mira, look at, mira, 
century, segle, century, 
evidence, evidència, evidence, 
window, finestra, window, 
culture, cultura, culture, 
chance, oportunitat, opportunity, oportunitat, 
brother, germà, brother, 
energy, energia, energy, 
period, període, period, 
course, curs, course, 
summer, estiu, summer, 
plant, planta, plant, 
opportunity, oportunitat, opportunity, 
term, terme, term, 
letter, carta, letter, 
condition, condició, condition, 
choice, elecció, choice, 
rule, regla, rule, 
daughter, filla, daughter, 
administration, administració, administration, 
south, sud, south, 
husband, marit, husband, 
congress, congrés, congress, 
floor, pis, floor, 
campaign, campanya, campaign, 
material, material, 
population, població, population, 
call, anomenada, named, nomenat, named, 
economy, economia, economy, 
hospital, hospital, 
church, església, church, 
risk, risc, risk, 
fire, foc, fire, 
future, futur, future, 
defense, defensa, defense, 
security, seguretat, security, 
bank, banc, bank, 
west, oest, west, 
sport, esportiu, sports, esports, sports, 
board, pissarra, blackboard, pissarra, 
subject, assignatura, subject, 
officer, oficial, official, oficial, 
rest, descans, rest, 
behavior, comportament, behavior, 
performance, rendiment, performance, 
top, superior, superior, 
goal, objectiu, goal, 
second, segon, second, 
bed, llit, bed, 
order, ordre, order, 
author, autor, author, 
blood, sang, blood, 
agency, agència, agency, 
nature, naturalesa, nature, 
color, color, 
store, botiga, shop, botiga, 
sound, so, sound, 
movement, moviment, movement, 
page, pàgina, page, 
race, carrera, race, 
concern, inquietud, restlessness, inquietud, 
series, sèrie, series, 
language, llenguatge, language, 
response, resposta, answer, resposta, 
animal, animal, 
factor, factor, 
decade, dècada, decade, 
article, article, 
east, est, east, 
artist, artista, artist, 
scene, escena, scene, 
stock, estoc, stock, 
career, carrera, race, carrera, 
treatment, tractament, treatment, 
approach, enfocament, focus, enfocament, 
size, mida, size, 
dog, gos, dog, 
fund, fons, background, fons, 
media, mitjans de comunicació, media, 
sign, signe, sign, 
thought, pensament, thought, 
list, llista, list, 
individual, individual, 
quality, qualitat, quality, 
pressure, pressió, pressure, 
answer, resposta, answer, 
resource, recurs, resource, 
meeting, reunió, meeting, 
disease, malaltia, illness, malaltia, 
success, èxit, success, 
cup, tassa, cup, 
amount, quantitat, quantity, quantitat, 
ability, habilitat, skill, habilitat, 
staff, personal, staff, 
character, personatge, character, 
growth, creixement, growth, 
loss, pèrdua, loss, 
degree, grau, degree, 
attack, atac, attack, 
region, regió, region, 
television, televisió, television, 
box, caixa, box, 
tv, tv, 
training, entrenament, training, 
trade, comerç, commerce, comerç, 
deal, acord, agreement, acord, 
election, elecció, choice, elecció, 
feeling, sensació, sensation, sensació, 
standard, estàndard, standard, 
bill, factura, invoice, factura, 
message, missatge, message, 
analysis, anàlisi, analysis, 
benefit, benefici, benefits, beneficis, benefits, 
sex, sexe, sex, 
lawyer, advocat, lawyer, 
section, secció, section, 
glass, vidre, glass, 
skill, habilitat, skill, 
sister, germana, sister, 
professor, professor, 
operation, operació, operation, 
crime, crim, crime, 
stage, etapa, stage, 
authority, autoritat, authority, 
design, disseny, design, 
sort, ordenar, order, ordre, order, 
one, un, one, 
knowledge, coneixement, knowledge, 
gun, arma de foc, firearm, arma de foc, 
station, estació, station, 
strategy, estratègia, strategy, 
truth, veritat, truth, 
song, cançó, song, 
example, exemple, example, 
environment, medi ambient, natural environment, medi natural, natural enviroment, medi natural, 
leg, cama, bed, llit, bed, 
public, públic, public, 
executive, executiu, executive, 
set, conjunt, set, 
rock, rock, 
note, nota, note, 
manager, gerent, manager, 
help, ajuda, help, 
network, xarxa, net, net, 
science, ciència, science, 
memory, memòria, memory, 
card, targeta, card, 
seat, seient, seat, 
cell, cel·la, cell, 
trial, judici, judgment, judici, 
expert, expert, 
spring, primavera, spring, 
firm, ferma, firm, 
democrat, demòcrata, democrat, 
radio, ràdio, radio, 
management, gestió, management, 
ball, bola, ball, 
talk, parlar, to talk, parlar, 
theory, teoria, theory, 
impact, impacte, impact, 
statement, declaració, statement, 
charge, càrrec, charge, 
direction, direcció, direction, 
weapon, arma, weapon, 
employee, empleat, employee, 
peace, pau, peace, 
base, base, 
pain, dolor, pain, 
play, jugar, play, 
measure, mesurar, measure, 
interview, entrevista, interview, 
chair, cadira, chair, 
fish, peix, fish, 
camera, càmera, camera, 
structure, estructura, structure, 
politics, política, politics, 
bit, poc, little, poc, 
weight, pes, weight, 
candidate, candidat, candidate, 
production, producció, production, 
trip, viatge, journey, viatge, 
evening, tarda, late, tard, late, 
conference, conferència, conference, 
unit, unitat, unit, 
style, estil, style, 
adult, adult, 
range, rang, rank, rang, 
past, passat, past, 
edge, vora, edge, 
writer, escriptor, writer, 
trouble, problemes, problems, problemes, 
challenge, desafiament, challenge, 
fear, por, by, per, for, per a, to, a, a, 
shoulder, espatlla, shoulder, 
institution, institució, institution, 
sea, mar, sea, 
dream, somiar, to dream, somiar, 
bar, bar, 
property, propietat, property, 
stuff, coses, things, coses, 
detail, detall, detail, 
method, mètode, method, 
magazine, revista, magazine, 
hotel, hotel, 
soldier, soldat, soldier, 
cause, causa, cause, 
bag, bossa, purse, bossa, 
heat, calenta, hot, calenta, 
fall, caure, drop, tirar, throw, llançar, throw, 
marriage, matrimoni, marriage, 
surface, superfície, surface, 
purpose, propòsit, purpose, 
pattern, patró, pattern, 
skin, pell, skin, 
agent, agent, 
owner, propietari, owner, 
machine, màquina, machine, 
gas, gas, 
generation, generació, generation, 
cancer, càncer, cancer, 
item, article, article, 
reality, realitat, reality, 
coach, entrenador, coach, 
mrs, mrs, 
yard, pati, courtyard, pati, 
violence, violència, violence, 
investment, inversió, investment, 
discussion, discussió, discussion, 
finger, dit, finger, 
garden, jardí, garden, 
collection, col · lecció, collection, 
task, tasca, task, 
partner, soci, partner, 
kitchen, cuina, kitchen, 
consumer, consumidor, consumer, 
shot, tir, shot, 
budget, pressupost, budget, 
painting, pintura, paint, pintura, 
scientist, científic, scientist, 
agreement, acord, agreement, 
capital, capital, 
mouth, boca, mouth, 
victim, víctima, victim, 
newspaper, diari, daily, diàriament, daily, 
threat, amenaça, threat, 
responsibility, responsabilitat, responsibility, 
attorney, advocat, lawyer, advocat, 
score, puntuació, score, 
account, compte, account, 
break, trencar, to break, trencar, 
audience, audiència, audience, 
dinner, sopar, dinner, 
vote, votar, vote, 
debate, debat, debate, 
citizen, ciutadà, citizen, 
majority, majoria, majority, 
wind, vent, wind, 
mission, missió, mission, 
customer, client, client, 
speech, discurs, speech, 
option, opció, option, 
participant, participant, 
forest, bosc, forest, 
video, video, 
senate, senat, senate, 
reform, reforma, reform, 
access, accés, access, 
restaurant, restaurant, 
judge, jutge, judge, 
relation, relació, relationship, relació, 
bird, au, au, 
opinion, opinió, opinion, 
credit, crèdit, credit, 
corner, cantonada, corner, 
version, versió, version, 
safety, seguretat, security, seguretat, 
neighborhood, barri, neighborhood, 
act, actuar, act, 
troop , tropa , troops , tropes , troops , 
income, ingressos, revenues, ingressos, 
species, espècie, species, 
track, seguiment, tracking, seguiment, 
hope, esperança, hope, 
sky, cel, sky, 
freedom, llibertat, freedom, 
plane, avió, plane, 
object, objecte, object, 
attitude, actitud, attitude, 
labor, treball, work, treballar, to work, treballar, 
concept, concepte, concept, 
client, client, 
conversation, conversa, talk, parlar, to talk, parlar, 
variety, varietat, variety, 
turn, girar, turn, 
investigation, investigació, research, recerca, research, 
researcher, investigador, researcher, 
press, premeu, press, 
conflict, conflicte, conflict, 
spirit, esperit, spirit, 
argument, argument, 
camp, campament, camping, campament, 
brain, cervell, brain, 
feature, funció, function, funció, 
afternoon, tarda, late, tard, late, 
weekend, cap de setmana, weekend, 
possibility, possibilitat, possibility, 
insurance, assegurança, insurance, 
department, departament, department, 
battle, batalla, battle, 
beginning, inici, start, començar, to start, començar, 
date, data, date, 
crisis, crisi, crisis, 
fan, fan, 
hole, forat, hole, 
element, element, 
vision, visió, vision, 
status, estat, state, estat, 
ship, vaixell, ship, 
solution, solució, solution, 
stone, pedra, stone, 
scale, escala, scale, 
university, universitat, university, 
driver, conductor, driver, 
attempt, intent, attempt, 
park, parc, park, 
spot, lloc, place, lloc, 
lack, falta, missing, falta, 
ice, gel, gel, 
boat, vaixell, ship, vaixell, 
sun, sol, ground, terra, land, terra, 
distance, distància, distance, 
wood, fusta, wood, 
truck, camió, truck, 
return, tornada, return, 
mountain, muntanya, mountain, 
survey, enquesta, poll, enquesta, 
tradition, tradició, tradition, 
winter, hivern, winter, 
village, poble, town, ciutat, city, ciutat, 
sales, vendes, sales, 
communication, comunicació, communication, 
run, correr, to run, córrer, to run, 
screen, pantalla, screen, 
resident, resident, 
gold, or, gold, 
club, club, 
farm, granja, farm, 
increase, augmentar, to increase, augmentar, 
middle, mig, half, la meitat, half, 
presence, presència, presence, 
district, districte, district, 
shape, forma, shape, 
reader, lector, reader, 
ms, senyora, ms, 
contract, contracte, contract, 
crowd, multitud, crowd, 
apartment, apartament, apartment, 
strength, força, force, força, 
band, banda, band, 
horse, cavall, horse, 
target, objectiu, goal, objectiu, 
prison, presó, jail, presó, 
guard, guàrdia, guard, 
demand, demanda, demand, 
reporter, periodista, journalist, periodista, 
text, text, 
share, compartir, to share, compartir, 
tool, eina, tool, 
vehicle, vehicle, 
flight, vol, flight, 
facility, facilitat, ease, facilitat, 
understanding, comprensió, understanding, 
advantage, avantatge, advantage, 
leadership, lideratge, leadership, 
pound, lliura, pound, 
basis, base, base, 
guest, convidat, guest, 
sample, mostra, shows, espectacles, shows, 
block, bloc, block, 
protection, protecció, protection, 
while, mentre, while, 
identity, identitat, identity, 
title, títol, title, 
lesson, lliçó, lesson, 
faith, fe, faith, 
river, riu, laugh, riure, laugh, 
living, vivent, living, 
technique, tècnica, technical, tècnic, technician, tècnic, 
path, camí, path, 
ear, orella, ear, 
shop, botiga, shop, 
folk, folk, 
principle, principi, beginning, inici, start, començar, to start, començar, 
border, frontera, border, 
competition, competició, competition, 
claim, reclamació, claim, 
equipment, equips, equipment, 
critic, crític, critical, crític, 
aspect, aspecte, look, mira, look at, mira, 
failure, fracàs, failure, 
christmas, nadal, christmas, 
comment, comentar, comment, 
affair, aventura, adventure, aventura, 
procedure, procediment, procedure, 
chairman, president, president, 
baseball, beisbol, baseball, 
egg, ou, ou, 
belief, creença, belief, 
murder, assassinat, murdered, assassinat, 
gift, regal, gift, 
religion, religió, religion, 
review, revisió, review, 
editor, editor, 
coffee, cafè, coffee, 
document, document, 
speed, velocitat, speed, 
influence, influència, influence, 
youth, joves, teens, joves, 
wave, onada, wave, 
move, moure's, to move, moure, move, 
quarter, quart, fourth, quart, 
background, fons, background, 
reaction, reacció, reaction, 
suit, vestit, dress, vestit, 
perspective, perspectiva, perspective, 
construction, construcció, construction, 
intelligence, intel·ligència, intelligence, 
connection, connexió, connection, 
shoe, sabata, shoe, 
grade, grau, degree, grau, 
context, context, 
committee, comitè, committee, 
mistake, errada, wrong, mal, bad, dolent, bad, 
focus, enfocament, focus, 
smile, somriure, smile, 
location, ubicació, location, 
clothes, roba, clothes, 
neighbor, veí, neighbor, 
drive, conduir, to drive, conduir, 
function, funció, function, 
bone, os, os, 
average, mitjana, average, 
wine, vi, vi, 
voter, elector, elector, 
means, significa, it means, significa, 
learning, aprenentatge, learning, 
bus, autobús, bus, 
hell, infern, hell, 
category, categoria, category, 
victory, victòria, victory, 
key, clau, key, 
visit, visita, visit, 
internet, internet, 
medicine, medicina, medicine, 
tour, gira, tour, 
photo, foto, photo, 
finding, trobar, to find, trobar, 
classroom, aula, classroom, 
contact, contacte, contact, 
justice, justícia, justice, 
pair, parell, even, fins i tot, even, 
exercise, exercici, exercise, 
knee, genoll, knee, 
flower, flor, flower, 
tape, cinta, tape, 
supply, subministrament, supply, 
cut, tallar, cut down, reduir, cut down, 
will, voluntat, will, 
actor, actor, 
birth, naixement, birth, 
search, cerca, close, a prop, near, a prop, 
democracy, democràcia, democracy, 
circle, cercle, circle, 
device, dispositiu, device, 
progress, progrés, progressar, progress, progress, progrés, progrés, progress, progress, 
front, front, 
bottom, fons, background, fons, 
island, illa, island, 
exchange, intercanvi, exchange, 
studio, estudi, study, estudiar, to study, estudiar, 
lady, senyora, ms, senyora, 
colleague, col.lega, colleague, 
application, aplicació, application, 
neck, coll, neck, 
damage, dany, damage, 
plastic, plàstic, plastic, 
plate, placa, plate, 
writing, escrivint, writing, 
start, començar, to start, començar, 
expression, expressió, expression, 
football, futbol, soccer, futbol, 
chicken, pollastre, chicken, 
army, exèrcit, army, 
abuse, abús, abuse, 
theater, teatre, theater, 
map, mapa, map, 
session, sessió, session, 
danger, perill, danger, 
literature, literatura, literature, 
rain, pluja, rain, 
desire, desig, wish, desitjar, to wish, desitjar, 
assessment, avaluació, evaluation, avaluació, 
injury, ferida, wounded, ferit, wounded, 
respect, respecte, respect, 
fuel, combustible, fuel, 
leaf, full, full, 
instruction, instrucció, instruction, 
fight, lluitar, fight, 
pool, piscina, pool, 
lead, dirigir, direct, directe, live, en directe, live, 
engine, motor, engine, 
salt, sal, salt, 
importance, importància, importance, 
metal, metall, metal, 
fat, greix, fat, 
ticket, bitllet, ticket, 
software, programari, software, 
lip, llavi, lip, 
reading, lectura, reading, 
lunch, dinar, lunch, 
farmer, agricultor, farmer, 
sugar, sucre, sugar, 
planet, planeta, planet, 
enemy, enemic, enemy, 
athlete, atleta, athlete, 
soul, ànima, soul, 
panel, panell, panel, 
meaning, significat, meaning, 
mom, mare, mother, mare, 
instrument, instrument, 
weather, clima, weather, 
commitment, compromís, commitment, 
pocket, butxaca, pocket, 
temperature, temperatura, temperature, 
surprise, sorpresa, surprise, 
poll, enquesta, poll, 
proposal, proposta, proposal, 
consequence, conseqüència, consequence, 
half, la meitat, half, 
breath, alè, breath, 
sight, mira, look at, mira, 
cover, portada, cover, 
balance, equilibri, balance, 
minority, minoria, minority, 
works, funciona, it works, funciona, 
teaching, ensenyament, teaching, 
aid, ajudes, help, ajuda, help, 
advice, consells, advices, consells, 
photograph, fotografia, photography, fotografia, 
trail, rastre, trace, rastrejar, track, seguiment, tracking, seguiment, 
novel, novel·la, novel, 
code, codi, code, 
jury, jurat, jury, 
breast, pit, pit, 
human, humà, human, 
theme, tema, topic, tema, 
storm, tempesta, storm, 
union, unió, union, 
desk, escriptori, desk, 
thanks, gràcies, thanks, 
fruit, fruita, fruit, 
conclusion, conclusió, conclusion, 
shadow, ombra, shadow, 
analyst, analista, analyst, 
dance, dansa, dance, 
limit, límit, limit, 
regulation, regulació, regulation, 
being, ser, to be, ser, 
ring, anell, ring, 
revenue, ingressos, revenues, ingressos, 
county, comtat, county, 
appearance, aparença, appearance, 
package, paquet, package, 
difficulty, dificultat, difficulty, 
bridge, pont, bridge, 
train, tren, train, 
e-mail, correu electrònic, e-mail, 
thinking, pensant, thinking, 
trend, tendència, trend, 
visitor, visitant, visitor, 
loan, préstec, loan, 
investor, inversor, investor, 
profit, benefici, benefits, beneficis, benefits, 
crew, tripulació, crew, 
accident, accident, 
male, mascle, male, 
meal, menjar, food, menjar, 
hearing, audició, listening, escoltant, listening, 
traffic, trànsit, traffic, 
muscle, múscul, muscle, 
notion, noció, notion, 
earth, terra, land, terra, 
chest, cofre, safe, segur, for sure, segur, 
cash, efectiu, cash, 
museum, museu, museum, 
beauty, bellesa, beauty, 
emergency, emergència, emergency, 
stress, estrès, stress, 
content, contingut, content, 
root, arrel, root, 
nose, nas, nose, 
bottle, ampolla, bottle, 
setting, configuració, configuration, configuració, 
dress, vestit, dress, 
file, dossier, dossier, 
outcome, resultat, result, resultat, 
ad, anunci, advertisement, publicitat, advertising, publicitat, 
duty, deure, duty, 
sheet, full, full, 
extent, extensió, extension, extensió, 
component, component, 
contrast, contrast, 
zone, zona, zone, 
airport, aeroport, airport, 
chief, cap, cap, 
shirt, samarreta, shirt, 
pilot, pilot, 
cat, gat, cat, 
contribution, aportació, contribution, 
capacity, capacitat, capacity, 
estate, finca, property, propietat, property, 
guide, guia, guide, 
circumstance, circumstància, circumstance, 
snow, neu, snow, 
politician, polític, politician, 
percentage, percentatge, percentage, 
meat, carn, meat, 
soil, sòl, ground, terra, land, terra, 
surgery, cirurgia, surgery, 
basketball, bàsquet, basketball, 
golf, golf, 
chain, cadena, chain, 
address, adreça, address, 
branch, branca, white, blanc, white, 
combination, combinació, combination, 
governor, governador, governor, 
relief, alleujament, relief, 
user, usuari, user, 
dad, pare, stop, aturar, stop, 
manner, manera, way, camí, way, 
silence, silenci, silence, 
rating, qualificació, qualification, qualificació, 
motion, moviment, movement, moviment, 
gender, gènere, genre, gènere, 
fee, tarifa, rate, taxa, rate, 
landscape, paisatge, landscape, 
bowl, bol, bowl, 
frame, marc, picture frame, marc, 
host, host, 
hall, saló, living room, sala d'estar, living room, 
ocean, oceà, ocean, 
row, fila, row, 
producer, productor, producer, 
regime, règim, regime, 
division, divisió, division, 
appeal, apel·lació, appeal, 
mirror, mirall, mirror, 
tooth, dent, tooth, 
length, llargada, length, 
topic, tema, topic, 
variable, variable, 
telephone, telèfon, phone, telèfon, 
perception, percepció, perception, 
confidence, confiança, trust, confiança, 
bedroom, dormitori, bedroom, 
secret, secret, 
debt, deute, debt, 
tank, tanc, tank, 
nurse, infermera, nurse, 
coverage, cobertura, coverage, 
opposition, oposició, opposition, 
bond, llaç, loop, loop, 
pleasure, plaer, pleasure, 
master, mestre, master, 
era, època, age, edat, age, 
requirement, requeriment, requirement, 
check, comprovar, to check, comprovar, 
stand, estand, booth, cabina, cabin, cabina, 
fun, diversió, fun, 
expectation, expectativa, expectation, 
wing, ala, wing, 
struggle, lluita, fight, lluitar, fight, 
judgment, judici, judgment, 
beer, cervesa, beer, 
english, anglès, english, 
reference, referència, reference, 
tear, llàgrima, tear, 
doubt, dubte, doubt, 
minister, ministre, minister, 
hero, heroi, hero, 
cloud, núvol, cloud, 
winner, guanyador, winner, 
volume, volum, volume, 
travel, viatjar, travel, 
seed, llavor, seed, 
fashion, moda, fashion, 
pepper, pebre, pepper, 
intervention, intervenció, intervention, 
copy, copiar, copy, 
tip, punta, tip, 
welfare, benestar, wellbeing, benestar, 
vegetable, vegetal, vegetable, 
dish, plat, plate, placa, plate, 
beach, platja, beach, 
improvement, millora, improvement, 
opening, obertura, opening, 
route, ruta, route, 
league, lliga, league, 
core, nucli central, central nucleus, nucli central, 
rise, pujar, go up, pujar, 
tie, corbata, tie, 
holiday, festa, party, festa, 
resolution, resolució, resolution, 
household, llar, home, casa, home, 
abortion, avortament, abortion, 
witness, testimoni, testimonial, testimonial, 
sector, sector, 
representative, representant, representative, 
black, negre, black, 
incident, incident, 
flow, flux, flow, 
faculty, professorat, teachers, professors, teachers, 
waste, malbaratament, waste, 
mass, massa, too, també, too, 
experiment, experiment, 
bomb, bomba, bomb, 
tone, to, to, 
engineer, enginyer, engineer, 
wheel, roda, wheel, 
female, femella, female, 
promise, promesa, promise, 
cable, cable, 
aids, ajudes, help, ajuda, help, 
jew, or, gold, or, 
cream, crema, cream, 
secretary, secretari, secretary, 
gate, porta, door, porta, 
hill, turó, hill, 
noise, soroll, noise, 
grass, herba, grass, 
hat, barret, hat, 
legislation, legislació, legislation, 
achievement, assoliment, achievement, 
fishing, pescar, to fish, pescar, 
drink, beure, drink, 
talent, talent, 
taste, gust, taste, 
characteristic, característica, characteristic, 
milk, llet, milk, 
sentence, frase, phrase, frase, 
height, altura, height, 
physician, metge, doctor, metge, 
sleep, dormir, to sleep, dormir, 
ride, passeig, ride, 
explanation, explicació, explanation, 
campus, campus, 
potential, potencial, potential, 
immigrant, immigrant, 
alternative, alternativa, alternative, 
interaction, interacció, interaction, 
column, columna, column, 
personality, personalitat, personality, 
signal, senyal, signal, 
curriculum, currículum, curriculum vitae, currículum vitae, resume, resum, summary, resum, 
honor, honor, 
passenger, passatgers, passengers, passatgers, 
assistance, assistència, assistance, 
association, associació, association, 
lab, laboratori, laboratory, laboratori, 
offer, oferta, offer, 
criticism, crítica, critic, crític, critical, crític, 
asset, actiu, active, actiu, 
depression, depressió, depression, 
journalist, periodista, journalist, 
prayer, oració, prayer, 
scholar, erudit, erudite, erudit, 
warning, advertència, warning, 
climate, clima, weather, clima, 
cheese, formatge, cheese, 
observation, observació, observation, 
childhood, infància, childhood, 
payment, pagament, payment, 
sir, senyor, sir, 
cigarette, cigarret, cigarette, 
definition, definició, definition, 
priority, prioritat, priority, 
bread, pa, pa, 
creation, creació, creation, 
graduate, graduat, graduate, 
request, sol·licitud, request, 
emotion, emoció, emotion, 
